source,target

F1, F370
F1, F389
F2, F671
F2, F346
F3, F495
F3, F672
F3, F552
F3, F336
F4, F79
F4, F55
F5, F137
F5, F185
F6, F184
F6, F662
F6, F471
F6, F543
F7, F614
F7, F485
F7, F568
F8, F313
F8, F613
F8, F607
F8, F628
F8, F634
F9, F247
F9, F222
F10, F322
F11, F2
F11, F493
F11, F398
F11, F224
F12, F79
F13, F362
F13, F680
F14, F556
F14, F524
F15, F525
F15, F425
F15, F610
F16, F289
F17, F297
F18, F729
F18, F452
F19, F140
F19, F663
F19, F685
F20, F429
F20, F568
F20, F356
F21, F211
F22, F259
F23, F583
F24, F701
F24, F689
F24, F646
F25, F302
F26, F440
F26, F483
F26, F8
F27, F241
F27, F612
F28, F694
F29, F406
F29, F309
F29, F100
F29, F90
F30, F53
F30, F328
F31, F178
F31, F704
F31, F552
F31, F54
F32, F358
F32, F96
F33, F319
F33, F706
F33, F633
F34, F57
F34, F76
F35, F695
F36, F448
F36, F58
F37, F679
F37, F79
F38, F131
F38, F79
F39, F205
F39, F60
F40, F158
F40, F140
F41, F62
F41, F660
F41, F79
F42, F63
F43, F232
F43, F397
F44, F226
F45, F155
F46, F66
F46, F116
F47, F92
F47, F67
F47, F398
F48, F355
F48, F394
F48, F44
F49, F178
F50, F316
F51, F553
F52, F241
F52, F140
F53, F98
F53, F703
F53, F336
F54, F178
F54, F124
F54, F444
F54, F220
F55, F79
F56, F471
F56, F222
F57, F127
F57, F152
F58, F522
F58, F568
F59, F613
F59, F8
F60, F109
F60, F132
F61, F110
F61, F133
F62, F79
F63, F297
F64, F113
F64, F145
F65, F79
F66, F91
F66, F116
F67, F141
F67, F117
F67, F92
F67, F398
F68, F118
F68, F142
F69, F119
F69, F143
F69, F94
F69, F323
F70, F120
F70, F95
F71, F553
F72, F29
F72, F588
F73, F396
F73, F70
F74, F632
F74, F231
F75, F538
F75, F79
F76, F79
F76, F104
F77, F105
F78, F357
F79, F301
F79, F246
F79, F578
F79, F123
F79, F39
F79, F284
F79, F34
F79, F223
F79, F469
F79, F612
F79, F299
F80, F150
F80, F200
F80, F102
F80, C98
F80, F202
F80, F300
F81, F79
F82, F173
F83, F140
F83, F696
F84, F714
F84, F730
F85, F558
F85, F504
F86, F140
F86, F416
F87, F745
F87, F161
F88, F257
F88, F307
F89, F115
F89, F138
F90, F418
F90, F122
F91, F529
F92, F188
F92, F213
F93, F226
F94, F323
F95, F144
F95, F396
F96, F553
F97, F551
F97, F160
F98, F194
F98, F30
F98, F146
F98, F282
F99, F466
F99, F468
F100, F72
F100, F309
F100, F224
F100, F250
F101, F134
F101, F111
F102, F443
F102, F145
F103, F553
F104, F57
F105, F745
F105, F128
F106, F129
F106, F154
F107, F572
F108, F250
F108, F150
F108, F80
F109, F157
F109, F180
F110, F362
F111, F47
F111, F398
F112, F17
F112, F454
F113, F239
F113, F136
F113, F745
F114, F79
F115, F163
F115, F186
F116, F91
F117, F165
F117, F141
F118, F488
F119, F69
F120, F396
F121, F169
F121, F31
F122, F406
F122, F309
F122, F72
F122, C55
F123, F172
F123, F317
F124, F731
F124, F147
F125, F362
F125, F733
F125, F653
F126, F241
F126, F140
F127, F79
F128, F270
F128, F153
F128, F105
F128, F176
F128, F199
F129, F177
F129, F357
F130, F173
F130, F125
F130, F195
F130, F359
F130, F200
F131, F79
F132, F205
F132, F79
F133, F140
F134, F159
F134, F182
F135, F719
F136, F87
F136, F447
F137, F338
F138, F243
F139, F603
F141, F92
F141, F398
F143, F323
F144, F396
F145, F52
F145, F218
F146, L633
F146, F98
F147, F195
F147, F54
F147, F444
F147, F220
F148, F5
F148, F219
F149, F745
F150, F145
F150, F381
F150, F588
F151, F8
F152, F175
F152, F198
F152, F79
F153, F128
F154, F357
F155, F414
F155, F433
F155, F511
F155, F532
F155, F11
F156, F204
F156, F227
F156, F251
F157, F557
F157, F205
F157, F79
F158, F110
F159, F111
F160, F551
F160, F183
F161, F745
F161, F184
F161, F145
F162, F584
F162, F563
F163, F243
F164, F22
F164, F187
F164, F212
F164, F235
F164, F259
F165, F92
F165, F398
F166, F646
F167, F323
F168, F191
F168, F3
F169, E444
F169, C571
F169, D118
F169, A10
F169, L689
F169, F226
F170, F80
F170, F309
F170, C98
F170, C136
F170, F250
F171, F79
F172, F615
F172, F636
F172, F79
F173, F196
F173, F505
F174, F570
F174, F192
F175, F79
